tag,graph_type,capacity_level,symmetry,n_players,n_nodes,n_edges,n_layers,n_width,seed,brd_found_pne,brd_time,brd_alpha,initial_pne_cost,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
F_loose_asymmetric_n2_L3W10_s0,layered,loose,asymmetric,2,30,145,3,10,,True,0.0485024452209472,1.0,22.0,OPTIMAL,0.0,22.0,0,4,0.1513271331787109,22.0,0.0942516326904296,22.0,OPTIMAL,22.0,0.3603541851043701,1.0
F_loose_asymmetric_n2_L3W3_s0,layered,loose,asymmetric,2,9,12,3,3,,True,0.0091273784637451,1.0,52.0,OPTIMAL,0.0,52.0,0,4,0.0331199169158935,52.0,0.0211243629455566,52.0,OPTIMAL,52.0,0.010935068130493164,1.0
F_loose_asymmetric_n2_L3W5_s0,layered,loose,asymmetric,2,15,38,3,5,,True,0.0387995243072509,1.0,15.0,OPTIMAL,0.0,15.0,0,4,0.1075527667999267,15.0,0.0591669082641601,15.0,OPTIMAL,15.0,0.06152486801147461,1.0
F_loose_asymmetric_n2_L3W8_s0,layered,loose,asymmetric,2,24,94,3,8,,True,0.1184675693511962,1.0,13.0,OPTIMAL,0.0,13.0,0,4,0.2014591693878173,13.0,0.1524653434753418,13.0,OPTIMAL,13.0,0.17254900932312012,1.0
F_loose_asymmetric_n2_L5W10_s0,layered,loose,asymmetric,2,50,301,5,10,,True,0.1651272773742675,1.0000000000000002,28.0,OPTIMAL,0.0,26.0,0,6,0.7446613311767578,26.0,0.3710026741027832,26.0,OPTIMAL,26.0,0.9450862407684326,1.0
F_loose_asymmetric_n2_L5W3_s0,layered,loose,asymmetric,2,15,28,5,3,,True,0.0606212615966796,1.0,25.0,OPTIMAL,0.0,25.0,0,4,0.1572065353393554,25.0,0.0926258563995361,25.0,OPTIMAL,25.0,0.06174945831298828,1.0
F_loose_asymmetric_n2_L5W5_s0,layered,loose,asymmetric,2,25,73,5,5,,True,0.0668017864227294,1.0,40.0,OPTIMAL,0.0,40.0,0,4,0.1583204269409179,40.0,0.0893135070800781,40.0,OPTIMAL,40.0,0.09402036666870117,1.0
F_loose_asymmetric_n2_L5W8_s0,layered,loose,asymmetric,2,40,188,5,8,,True,0.1229846477508544,1.0,16.0,OPTIMAL,0.0,16.0,0,4,0.6740775108337402,16.0,0.2135004997253418,16.0,OPTIMAL,16.0,0.5353009700775146,1.0
F_loose_asymmetric_n2_L8W10_s0,layered,loose,asymmetric,2,80,551,8,10,,True,0.1524050235748291,1.0,23.0,OPTIMAL,0.0,23.0,0,4,1.1527082920074463,23.0,0.3221898078918457,23.0,OPTIMAL,23.0,0.8609328269958496,1.0
F_loose_asymmetric_n2_L8W3_s0,layered,loose,asymmetric,2,24,50,8,3,,True,0.0424652099609375,1.0,53.0,OPTIMAL,0.0,53.0,0,4,0.1934926509857177,53.0,0.073979377746582,53.0,OPTIMAL,53.0,0.11651086807250977,1.0
F_loose_asymmetric_n2_L8W5_s0,layered,loose,asymmetric,2,40,127,8,5,,True,0.082529067993164,1.0000000000000002,55.0,OPTIMAL,0.0,50.0,0,6,0.3850891590118408,50.0,0.1315376758575439,50.0,OPTIMAL,50.0,0.18182921409606934,1.0
F_loose_asymmetric_n2_L8W8_s0,layered,loose,asymmetric,2,64,339,8,8,,True,0.0955150127410888,1.0,26.0,OPTIMAL,0.0,26.0,0,4,0.6409223079681396,26.0,0.1890490055084228,26.0,OPTIMAL,26.0,0.7057967185974121,1.0
F_loose_asymmetric_n4_L10W10_s0,layered,loose,asymmetric,4,100,705,10,10,,True,0.342585802078247,1.0,50.0,OPTIMAL,0.0,46.0,0,12,10.737665176391602,46.0,1.0077741146087646,46.0,OPTIMAL,46.0,13.962080001831055,1.0
F_loose_asymmetric_n4_L10W3_s0,layered,loose,asymmetric,4,30,63,10,3,,True,0.0915751457214355,1.0,116.0,OPTIMAL,0.0,104.99999977244946,1,24,11.168493509292604,104.99999717131163,0.1840949058532714,105.0,OPTIMAL,105.0,5.481364488601685,1.0
F_loose_asymmetric_n4_L10W5_s0,layered,loose,asymmetric,4,50,165,10,5,,True,0.1497156620025634,1.0000000000000002,111.0,OPTIMAL,0.0,85.0,0,12,1.4538662433624268,85.0,0.3260853290557861,85.0,OPTIMAL,85.0,1.1735689640045166,1.0
F_loose_asymmetric_n4_L10W8_s0,layered,loose,asymmetric,4,80,445,10,8,,True,0.2959182262420654,1.0,51.0,OPTIMAL,0.0,51.0,0,8,5.226506948471069,51.0,0.6848208904266357,51.0,OPTIMAL,51.0,4.195787668228149,1.0
F_loose_asymmetric_n4_L3W10_s0,layered,loose,asymmetric,4,30,145,3,10,,True,0.067385196685791,1.0,23.0,OPTIMAL,0.0,23.0,0,8,0.4182205200195312,23.0,0.2161083221435547,23.0,OPTIMAL,23.0,0.7299139499664307,1.0
F_loose_asymmetric_n4_L3W3_s0,layered,loose,asymmetric,4,9,12,3,3,,True,0.0170049667358398,1.0,56.0,OPTIMAL,0.0,56.0,0,8,0.0430049896240234,56.0,0.0310051441192626,56.0,OPTIMAL,56.0,0.027001380920410156,1.0
F_loose_asymmetric_n4_L3W5_s0,layered,loose,asymmetric,4,15,38,3,5,,True,0.0372285842895507,1.0,68.0,OPTIMAL,0.0,68.0,0,8,0.1234140396118164,68.0,0.0751857757568359,68.0,OPTIMAL,68.0,0.16348862648010254,1.0
F_loose_asymmetric_n4_L3W8_s0,layered,loose,asymmetric,4,24,94,3,8,,True,0.0887923240661621,1.0,23.0,OPTIMAL,0.0,23.0,0,8,0.3218245506286621,23.0,0.1814119815826416,23.0,OPTIMAL,23.0,0.5735495090484619,1.0
F_loose_asymmetric_n4_L5W10_s0,layered,loose,asymmetric,4,50,301,5,10,,True,0.1853125095367431,1.0000000000000002,35.0,OPTIMAL,0.0,32.0,0,12,1.76452898979187,32.0,0.405435562133789,32.0,OPTIMAL,32.0,1.8398456573486328,1.0
F_loose_asymmetric_n4_L5W3_s0,layered,loose,asymmetric,4,15,28,5,3,,True,0.0781159400939941,1.0,83.0,OPTIMAL,0.0,83.0,0,8,0.2262556552886963,83.0,0.1316452026367187,83.0,OPTIMAL,83.0,0.1470174789428711,1.0
F_loose_asymmetric_n4_L5W5_s0,layered,loose,asymmetric,4,25,73,5,5,,True,0.0873310565948486,1.0,91.0,OPTIMAL,0.0,91.0,3,20,0.6664810180664062,91.0,0.1548643112182617,91.0,OPTIMAL,86.0,0.4299032688140869,1.058139534883721
F_loose_asymmetric_n4_L5W8_s0,layered,loose,asymmetric,4,40,188,5,8,,True,0.2698574066162109,1.0,61.0,OPTIMAL,0.0,55.0,0,12,1.6126694679260254,55.0,0.4797251224517822,55.0,OPTIMAL,55.0,1.5514953136444092,1.0
